NO,obj1,obj2
1,0,1
2,0.02,0.858578643762691
3,0.04,0.8
4,0.06,0.755051025721682
5,0.08,0.717157287525381
6,0.1,0.683772233983162
7,0.12,0.653589838486225
8,0.14,0.625834261322606
9,0.16,0.6
10,0.18,0.575735931288071
11,0.2,0.552786404500042
12,0.22,0.530958424017657
13,0.24,0.510102051443364
14,0.26,0.490098048640722
15,0.28,0.470849737787082
16,0.3,0.452277442494834
17,0.32,0.434314575050762
18,0.34,0.41690481051547
19,0.36,0.4
20,0.38,0.383558599703102
21,0.4,0.367544467966324
22,0.42,0.351925930159214
23,0.44,0.33667504192892
24,0.46,0.321767001687473
25,0.48,0.307179676972449
26,0.5,0.292893218813452
27,0.52,0.278889744907202
28,0.54,0.265153077165046
29,0.56,0.251668522645212
30,0.58,0.238422689413609
31,0.6,0.225403330758516
32,0.62,0.212599212598819
33,0.64,0.2
34,0.66,0.187596159536404
35,0.68,0.175378874876468
36,0.7,0.163339973465924
37,0.72,0.151471862576143
38,0.74,0.139767473295737
39,0.76,0.128220211291865
40,0.78,0.116823913367215
41,0.8,0.105572809000084
42,0.82,0.0944614861862582
43,0.84,0.0834848610088318
44,0.86,0.0726381504504294
45,0.88,0.0619168480353138
46,0.9,0.051316701949486
47,0.92,0.0408336953374558
48,0.940000000000001,0.0304640285167339
49,0.960000000000001,0.0202041028867285
50,0.980000000000001,0.0100505063388332
51,1,-2.22044604925031e-16
